,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
2171,3,32,2015,44068,1,1,224,10,1,18.0,35,5,2,485999
2172,8,458,2019,53473,0,1,227,10,1,22.0,37,5,2,610899
2173,8,467,2021,46252,0,1,231,10,1,23.2,37,5,2,811499
2174,4,598,2015,21310,0,1,216,10,1,19.8,35,5,2,376799
2175,3,108,2012,63193,2,1,224,10,1,16.8,42,5,2,439199
2176,16,381,2021,22535,0,1,216,10,1,18.2,45,5,2,868399
2177,14,297,2021,3774,0,1,235,10,0,16.4,50,5,2,1818599
2178,8,458,2019,71266,0,1,225,10,1,22.0,37,5,2,602099
2179,8,458,2019,33032,1,1,255,10,1,22.0,37,5,2,643599
2180,4,140,2017,57562,1,1,219,10,1,15.3,60,5,2,767399
2181,4,142,2017,25229,1,1,220,10,0,19.7,60,5,2,1138899
2182,4,146,2016,48069,0,0,216,10,1,15.3,60,5,2,1020499
2183,3,108,2010,92126,0,1,217,10,1,11.6,42,5,2,460899
2184,8,368,2019,5867,0,1,231,10,1,20.5,32,5,2,594899
2185,16,509,2013,43531,1,0,216,10,1,14.4,55,5,2,560899
2186,8,458,2019,36419,1,1,226,10,1,22.0,37,5,2,659399
2187,4,440,2010,45401,1,1,223,10,1,17.9,35,5,2,238849
2188,8,458,2013,37446,1,1,225,10,1,18.6,42,5,2,426099
2189,8,453,2020,12355,0,1,231,10,1,23.2,37,5,2,605999
2190,4,613,2012,33314,1,1,216,10,1,18.2,45,5,2,312699
2191,3,101,2012,90166,0,1,86,4,1,16.8,42,5,1,548299
2192,4,352,2021,28957,0,1,84,4,1,20.0,35,5,1,646599
2193,14,302,2018,41228,2,0,91,4,0,17.6,60,7,1,1407699
2194,4,526,2016,85791,0,1,119,4,1,17.4,43,5,1,803899
2195,8,458,2019,41076,0,1,120,4,1,22.0,37,5,1,617899
2196,4,208,2019,26487,1,1,119,4,1,19.8,40,5,1,837599
2197,4,499,2020,8833,0,1,88,4,1,17.5,45,5,1,920499
2198,8,68,2017,32879,0,1,91,4,1,21.6,35,5,1,509999
2199,4,215,2015,52855,1,1,85,4,0,22.5,45,5,1,626899
2200,7,477,2019,15725,0,1,86,4,0,18.5,60,7,1,1044999
2201,8,86,2020,68587,0,1,86,4,1,18.6,48,5,1,1091399
2202,8,9,2018,42416,1,1,88,4,1,24.7,35,5,1,348299
2203,14,4,2020,14530,0,1,88,4,1,18.5,37,5,1,866199
2204,4,606,2012,47315,1,1,84,4,1,20.6,35,5,1,332799
2205,8,76,2017,20368,1,1,88,4,1,23.1,35,5,1,464699
2206,4,283,2015,48342,0,1,86,4,1,18.9,43,5,1,522999
2207,8,553,2012,46290,1,1,86,4,1,15.0,35,5,1,361799
2208,13,391,2013,82313,1,1,121,4,0,20.5,55,5,1,473599
2209,4,353,2020,10305,1,0,87,4,1,20.3,35,5,1,635699
2210,14,596,2014,50885,0,1,85,4,1,17.6,44,5,1,483899
2211,4,277,2014,90143,1,1,87,4,0,24.0,43,5,1,389599
2212,15,262,2021,10684,0,1,86,4,1,22.4,37,5,1,866099
2213,8,538,2019,94043,0,0,86,4,0,24.3,48,5,1,839299
2214,4,612,2010,99249,1,1,113,4,1,12.4,45,5,1,317599
2215,12,161,2015,68450,0,1,121,4,0,20.5,50,5,1,688379
2216,4,584,2015,70508,1,1,85,4,0,24.4,43,5,1,434499
2217,14,355,2021,19605,0,1,121,4,1,17.1,44,5,1,963899
2218,8,455,2013,54674,0,1,113,4,0,22.9,42,5,1,521699
2219,8,461,2017,29025,0,1,86,4,1,20.4,42,5,1,642199
2220,8,462,2017,84738,1,1,113,4,0,25.2,42,5,1,589399
2221,8,76,2019,25790,1,1,113,4,1,23.1,35,5,1,492999
2222,2,249,2010,79565,1,1,86,4,1,11.0,45,5,1,254699
2223,8,448,2014,69716,0,1,86,4,1,19.1,42,5,1,512499
2224,8,448,2014,76864,0,1,87,4,1,19.1,42,5,1,529399
2225,8,22,2012,30352,0,1,88,4,1,22.7,35,5,1,279599
2226,8,462,2014,43210,0,1,119,4,0,25.2,42,5,1,613199
2227,15,245,2011,88127,1,1,91,4,1,17.6,45,5,1,390699
2228,8,450,2014,98003,0,1,119,4,0,23.4,42,5,1,578449
2229,4,526,2013,50715,1,1,98,4,1,17.0,43,5,1,566099
2230,8,22,2011,72715,0,1,119,4,1,19.7,35,5,1,239999
2231,4,613,2010,75484,0,1,88,4,1,18.2,45,5,1,338699
2232,8,455,2012,78175,0,1,84,4,0,22.9,42,5,1,456899
2233,8,456,2017,31806,0,1,88,4,0,25.2,42,5,1,651599
2234,8,237,2014,73070,1,1,86,4,1,16.0,45,7,1,624999
2235,4,526,2012,39309,0,1,86,4,1,17.0,43,5,1,583699
2236,8,9,2014,19600,0,1,85,4,1,22.7,35,5,1,297799
2237,8,0,2012,77969,0,1,87,4,1,17.0,35,5,1,278999
2238,4,439,2011,57563,0,1,119,4,1,17.9,35,5,1,321699
2239,3,101,2011,52904,1,1,119,4,1,16.8,42,5,1,417699
2240,4,613,2010,61270,0,1,119,4,1,18.2,45,5,1,387499
2241,4,602,2009,98148,1,1,121,4,1,12.8,35,5,1,248399
2242,8,458,2021,13228,0,1,87,4,1,22.0,37,5,1,708599
2243,8,449,2010,69820,0,1,84,4,1,11.9,43,5,1,350999
2244,4,227,2017,7163,0,1,113,4,1,21.1,32,5,1,401399
2245,12,158,2015,42983,0,1,84,4,0,20.5,50,5,1,686699
2246,8,406,2010,47638,0,1,87,4,1,18.5,43,5,1,372799
2247,8,405,2011,40177,0,1,86,4,1,18.5,43,5,1,404899
2248,4,440,2010,43166,0,1,119,4,1,17.9,35,5,1,278199
2249,8,309,2017,61661,0,0,87,4,1,20.9,32,5,1,608999
2250,8,308,2017,67913,0,1,119,4,1,20.9,32,5,1,542399
2251,8,303,2021,31530,0,1,124,4,1,21.6,35,5,1,689299
2252,4,210,2017,52256,1,1,121,4,1,18.6,45,5,1,699899
2253,4,610,2017,64092,1,1,121,4,1,17.2,45,5,1,700899
2254,15,263,2021,5572,0,0,86,4,1,19.6,37,5,1,1058699
2255,4,607,2014,56971,0,1,84,4,1,18.6,45,5,1,534899
2256,8,176,2017,70083,0,0,119,4,0,28.4,37,5,1,701799
2257,8,70,2014,56626,1,0,121,4,1,23.1,35,5,1,400199
2258,8,553,2016,23996,1,1,85,4,1,20.5,35,5,1,466199
2259,8,76,2018,41559,0,1,88,4,1,21.6,35,5,1,514799
2260,4,205,2019,23982,0,1,121,4,1,20.0,40,5,1,892899
2261,8,462,2016,46993,0,1,119,4,0,25.2,42,5,1,656799
2262,3,38,2014,59929,1,1,100,4,0,25.8,35,5,1,433199
2263,8,458,2015,51653,0,1,121,4,1,20.4,42,5,1,519899
2264,14,487,2019,24203,0,1,86,4,1,23.8,35,5,1,623099
2265,8,76,2018,61762,1,1,104,4,1,21.6,35,5,1,453199
2266,12,331,2020,13934,0,1,118,4,1,23.0,28,5,1,552299
2267,2,190,2014,66478,0,1,121,4,0,22.7,52,5,1,683199
2268,8,460,2019,21659,1,0,86,4,1,22.0,37,5,1,751599
2269,4,5,2020,42520,0,1,98,4,1,21.0,37,5,1,710099
2270,16,507,2012,57218,0,1,86,4,0,20.5,55,5,1,496199
2271,12,66,2019,44849,0,1,88,4,0,20.4,50,5,1,975499
2272,2,247,2018,32183,0,1,87,4,1,19.0,42,5,1,637299
2273,11,341,2017,58937,1,1,86,4,1,19.5,41,5,1,438799
2274,2,247,2018,43394,1,1,84,4,1,19.0,42,5,1,636299
2275,2,247,2018,25431,0,1,121,4,1,19.0,42,5,1,654699
2276,8,308,2018,43398,0,1,118,4,1,21.4,37,5,1,618899
2277,8,18,2018,53412,0,0,124,4,1,24.1,35,5,1,429399
2278,6,426,2019,44147,0,1,91,4,1,16.1,50,5,1,1407899
2279,14,302,2018,76617,0,0,89,4,0,17.6,60,7,1,1338899
2280,4,272,2017,54138,1,1,86,4,1,18.9,43,5,1,603399
2281,3,316,2017,48267,0,0,88,4,1,19.0,40,5,1,746899
2282,15,593,2018,29417,1,0,100,4,1,17.8,42,5,1,985499
2283,15,590,2018,24697,0,1,84,4,1,17.1,42,5,1,894499
2284,14,302,2018,55531,1,0,119,4,0,17.6,60,7,1,1424299
2285,8,18,2017,33181,0,0,87,4,1,24.1,35,5,1,434699
2286,8,555,2018,29561,1,1,119,4,1,20.5,35,5,1,496899
2287,8,17,2018,24169,1,1,119,4,1,24.1,35,5,1,419899
2288,8,17,2019,40856,1,1,84,4,1,24.1,35,5,1,401599
2289,15,587,2018,33620,1,0,86,4,1,17.8,42,5,1,928199
2290,4,286,2018,51675,1,1,86,4,1,19.8,43,5,1,589399
2291,8,17,2018,63850,0,1,84,4,1,24.1,35,5,1,385199
2292,14,364,2018,74106,0,0,91,4,0,17.9,44,5,1,899799
2293,8,46,2018,67067,0,1,86,4,1,21.4,37,5,1,604299
2294,4,281,2017,21657,1,0,88,4,1,17.5,43,5,1,649299
2295,3,549,2017,36733,1,1,86,4,1,17.5,40,5,1,716599
2296,14,355,2021,65146,0,1,87,4,1,17.1,44,5,1,945399
2297,4,207,2018,65895,0,1,97,4,1,19.8,40,5,1,739499
2298,8,26,2019,26781,0,1,85,4,1,24.7,35,5,1,414999
2299,15,591,2018,23337,0,0,88,4,1,17.8,42,5,1,1080799
2300,3,108,2017,51913,0,1,87,4,1,18.0,40,5,1,898699
2301,4,283,2017,45502,0,1,87,4,1,18.9,43,5,1,516199
2302,8,553,2014,90250,1,1,121,4,1,20.5,35,5,1,368099
2303,4,526,2017,84073,0,1,91,4,1,17.4,45,5,1,790299
2304,16,503,2018,84644,0,0,119,4,1,18.2,55,5,1,974199
2305,15,261,2021,11858,0,0,119,4,1,19.6,37,5,1,997699
2306,14,301,2018,70910,0,1,113,4,0,17.6,60,7,1,1252199
2307,3,34,2018,54792,0,0,119,4,1,18.3,35,5,1,697599
2308,3,547,2018,63509,0,1,87,4,1,17.5,40,5,1,670399
2309,8,9,2016,63034,0,1,118,4,1,24.7,35,5,1,329599
2310,2,185,2017,94711,0,1,85,4,0,23.0,52,5,1,773499
2311,4,287,2017,33293,0,1,88,4,1,19.8,43,5,1,594799
2312,4,492,2020,24156,0,0,119,4,1,18.2,45,5,1,1179299
2313,4,609,2017,43466,0,1,100,4,1,17.2,45,5,1,686699
2314,15,261,2021,8259,0,0,85,4,1,19.6,37,5,1,997699
2315,3,110,2018,66361,0,0,87,4,1,18.0,40,5,1,1136099
2316,8,553,2012,86050,0,1,84,4,1,15.0,35,5,1,342199
2317,8,555,2018,43796,0,1,84,4,1,20.5,35,5,1,478299
2318,3,316,2017,63713,1,0,107,4,1,19.0,40,5,1,684199
2319,2,247,2019,20697,1,1,86,4,1,18.5,42,5,1,626399
2320,8,553,2018,35683,0,1,90,4,1,20.5,35,5,1,482399
2321,4,518,2017,26658,0,1,88,4,1,17.4,45,5,1,847299
2322,8,17,2018,41855,1,1,98,4,1,24.1,35,5,1,359899
2323,2,247,2019,18072,1,1,87,4,1,18.5,42,5,1,636099
2324,4,521,2018,41980,1,0,121,4,1,17.4,45,5,1,1011399
2325,8,19,2016,34863,0,0,113,4,1,24.1,35,5,1,416899
2326,4,519,2018,60412,1,1,84,4,1,17.4,45,5,1,917599
2327,8,49,2019,33534,1,1,84,4,1,21.1,37,5,1,737199
2328,4,260,2021,43434,0,1,119,4,1,21.0,37,5,1,715199
2329,3,316,2017,33686,0,0,87,4,1,19.0,40,5,1,744299
2330,8,554,2017,59230,0,0,87,4,1,20.5,35,5,1,455699
2331,4,518,2017,48630,0,1,96,4,1,17.4,45,5,1,875799
2332,4,521,2018,45545,0,0,86,4,1,17.4,45,5,1,1082349
2333,4,272,2017,24271,0,1,86,4,1,18.9,43,5,1,600699
2334,14,4,2020,70763,0,1,87,4,1,18.5,37,5,1,833699
2335,8,414,2016,80732,0,1,119,4,0,23.7,48,5,1,727799
2336,8,374,2019,24841,0,1,84,4,1,16.8,35,5,1,344999
2337,4,272,2017,27352,0,1,87,4,1,18.9,43,5,1,596899
2338,4,518,2018,23775,0,1,121,4,1,17.4,45,5,1,883799
2339,14,301,2017,73558,1,1,87,4,0,17.6,60,7,1,1113799
2340,4,278,2017,26090,0,1,86,4,1,18.9,43,5,1,550299
2341,8,17,2016,40139,0,1,121,4,1,24.0,35,5,1,352499
2342,4,518,2017,40952,0,1,119,4,1,17.4,45,5,1,952599
2343,3,108,2017,63623,0,1,87,4,1,18.0,40,5,1,787799
2344,14,358,2020,20273,0,1,88,4,1,17.0,44,5,1,1063499
2345,2,248,2018,84573,0,1,88,4,0,24.4,40,5,1,688699
2346,4,350,2018,55868,1,1,85,4,1,20.3,35,5,1,586799
